x,y
0.84406,0.930572
0.844064,0.930571
0.830155,0.904131
0.826412,0.894062
0.826397,0.894054
0.826462,0.889999
0.826465,0.890004
0.816192,0.871309
0.816198,0.871324
0.816197,0.871325
0.814242,0.85906
0.814261,0.859057
0.80923,0.85303
0.809245,0.853022
0.81256,0.847617
0.812556,0.847608
0.801264,0.830505
0.792178,0.820856
0.792174,0.82086
0.789804,0.804811
0.789364,0.802285
0.789352,0.802285
0.789355,0.802283
0.783404,0.793143
0.778959,0.782164
0.778976,0.782186
0.775729,0.776137
0.775718,0.776144
0.767428,0.758476
0.767431,0.758482
0.767431,0.758481
0.76434,0.74234
0.764326,0.742333
0.754606,0.735104
0.754585,0.735106
0.754586,0.735108
0.743767,0.714281
0.728502,0.687152
0.726995,0.671792
0.726028,0.666243
0.726033,0.666225
0.705281,0.635555
0.705254,0.635538
0.705254,0.635538
0.703482,0.624453
0.692373,0.606896
0.679578,0.595736
0.679591,0.595727
0.679591,0.595728
0.668466,0.56112
0.671802,0.554286
0.671798,0.554296
0.671798,0.554296
0.605501,0.436835
0.605491,0.436816
