                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 102.62,                      0,                      0,                      0,                      0,                      0,                      0,                 61.284,                      0,                      0,                      0,                      0
                      2,                      0,                 103.07,                      0,                      0,                      0,                      0,                      0,                      0,                 61.304,                      0,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                      0,                 101.57,                      0,                      0,                      0,                      0,                      0,                      0,                 61.326,                      0,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                      0,                 99.793,                      0,                      0,                      0,                      0,                      0,                      0,                 61.347,                      0,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                      0,                 98.892,                      0,                      0,                      0,                      0,                      0,                      0,                 61.369,                      0,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                      0,                 98.282,                      0,                      0,                      0,                      0,                      0,                      0,                 61.387,                      0,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                      0,                 97.659,                      0,                      0,                      0,                      0,                      0,                      0,                 61.404,                      0,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                      0,                  97.39,                      0,                      0,                      0,                      0,                      0,                      0,                 61.419,                      0,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                      0,                 96.977,                      0,                      0,                      0,                      0,                      0,                      0,                 61.436,                      0,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                      0,                 96.522,                      0,                      0,                      0,                      0,                      0,                      0,                 61.453,                      0,              1.962e-05,              1.962e-05,              1.962e-05
